,sentiment,categories,urgency,risks,additional_info
128,Positive,"['in-flight service', 'ticketing', 'seating', 'staff behavior', 'delays', 'entertainment']",Immediate,[],
129,Positive,"['in-flight service', 'ticketing', 'seating', 'staff behavior', 'delays']",Immediate,[],
130,Negative,"['in-flight service', 'ticketing', 'seating', 'staff behavior', 'delays']",Non-Immediate,[], 
131,Negative,"['in-flight service', 'ticketing']",Immediate,[],
132,Positive,"['in-flight service', 'baggage handling', 'seating', 'staff behavior', 'delays', 'entertainment']",Immediate,[], 
133,Positive,"['in-flight service', 'baggage handling', 'ticketing', 'seating', 'staff behavior', 'delays']",Non-Immediate,[],"Check in agent at Glasgow was very cheerful and polite. Both crews were efficient and polite, if not particularly engaging. In economy it was a very standard service. I like the new seats on both aircraft. What I don't like is having to transfer from T5 to T3 at Heathrow. Over the past several years I seem to always end up travelling to the destinations requiring this transfer, which adds a lot of time and hassle to what would be an extremely efficient domestic to international connection at T5."
134,Negative,"['in-flight service', 'baggage handling', 'ticketing', 'seating', 'staff behavior', 'delays', 'entertainment']",Immediate,[],
135,Positive,"['in-flight service', 'baggage handling', 'ticketing', 'seating', 'delays']",Immediate,[],
136,Positive,"['baggage handling', 'ticketing']",Non-Immediate,[],
137,Negative,"['in-flight service', 'seating', 'delays']",Non-Immediate,[],
138,Negative,"['staff behavior', 'delays', 'entertainment']",Non-Immediate,['disaster'],
139,Positive,"['in-flight service', 'baggage handling', 'ticketing', 'seating', 'staff behavior', 'delays']",Immediate,[],
140,Positive,"['in-flight service', 'seating', 'staff behavior', 'entertainment']",Non-Immediate,[],
141,Positive,"['in-flight service', 'baggage handling', 'ticketing', 'seating', 'staff behavior']",Immediate,[],
142,Positive,"['in-flight service', 'baggage handling', 'seating', 'staff behavior', 'delays', 'entertainment']",Immediate,[],
143,Positive,"['in-flight service', 'staff behavior', 'delays', 'entertainment']",Immediate,[],
144,Negative,"['in-flight service', 'baggage handling', 'ticketing', 'seating', 'staff behavior', 'cleanliness']",Non-Immediate,[],"Round trip London to Luanda in British Airways business class (Club World). It's really below average. British Airways seems stand still in the competition with other airlines. The seats are cramped. There are no storage for personal items. The seats and toilets were not adequately cleaned up after previous flight. The food and IFE were average for business class. British Airways should think about improving the cabin in general or otherwise they will continue to fall behind their competitors. Even American Airlines and Iberia, which practically owned by same company, have improved a lot. The only positive thing was the FAs in both legs were polite and courteous. They were relatively young so they still have motivation to do their jobs."
145,Positive,"['in-flight service', 'baggage handling', 'ticketing', 'seating', 'staff behavior', 'delays', 'entertainment']",Non-Immediate,[],
146,Positive,"['in-flight service', 'baggage handling', 'ticketing', 'seating', 'staff behavior', 'delays', 'entertainment']",Immediate,['risk'], 
147,Positive,"['in-flight service', 'baggage handling', 'ticketing', 'seating', 'staff behavior', 'entertainment']",Non-Immediate,[], 
148,Positive,"['in-flight service', 'ticketing', 'seating']",Immediate,[],
149,Negative,"['in-flight service', 'seating', 'staff behavior', 'entertainment']",Non-Immediate,[],
150,Positive,"['in-flight service', 'staff behavior', 'entertainment']",Non-Immediate,[],
151,Positive,"['in-flight service', 'baggage handling', 'ticketing', 'seating', 'delays', 'entertainment']",Immediate,[],
152,Negative,"['in-flight service', 'ticketing', 'seating', 'staff behavior', 'delays', 'entertainment']",Non-Immediate,[],
153,Positive,"['in-flight service', 'baggage handling', 'ticketing', 'seating', 'staff behavior', 'delays', 'entertainment', 'cleanliness']",Immediate,[],"Third time flying the British Airways A380 and the only reason that we did is because it was a BA Amex 2for1 redemption. However to ensure that we maxed out the experience, as always we pre booked seats. On checking in online seats had been moved, contacted BA Bronze and reply was  cannot answer why, possibly operational reasons, more information should be available at check in . Check in, no response. On board our seats were occupied by what appeared to be  normal  passengers, i.e. no entourage. Seats we were allocated, lumbar and head rest functions did not operate, cabin crew tried rebooting but no luck, so onwards and upwards. Having flown BA a reasonable amount I have come to the conclusion that the cabin crew, despite operating with poorly designed cabins, poorly maintained (seats) equipment (we had a similar scenario on a Heathrow to LA and return last July where we had the same reg plane, same seats and similar problem which was not fixed after the flight out) manage to maintain a brave company face. BA Club Lounge: Again, food choice poor, running out, although granted peak hours, but if other airlines can cope why cannot BA? Cabin crew: Service very good and friendly. Food reasonable, but nothing that makes you say that  that was good . Entertainment: Poor, old  ish  and second rate movies, enough said. Seats: Unfortunately in this case we leave the worst till last. Having flown Qantas, Emirates and Qatar A380's like everybody else we wonder why BA did not take the opportunity for a redesign of layout and seat area. Well we know why = £££'s, Question? Does no one on the BA cabin design team wear glasses? There is no storage space, if it goes in the drawer with the shoes, you have to move the seat from sleep position to access, so you are left with the possibility of either wearing and damaging said specs, or hanging them over the separator. Again, competitors manage it. The seat itself, is harder than the competitors above (mattress?) and apparently I discovered that extra pillows are no longer carried, so you have one and thats it. Unfortunately, we do still have to use BA next March, but have booked Qatar again for October. Additionally, the Customer Service service in India is sadly woefully short in all areas, although polite working from scripts and unable to solve / answer simple questions. Frustration. A question for BA: We really want to support and be proud of our national flag carrier but what are the incentives for using BA? I do not mean cost."
154,Positive,"['in-flight service', 'ticketing', 'staff behavior', 'delays']",Non-Immediate,[],
155,Negative,"['in-flight service', 'seating']",Non-Immediate,[],
156,Positive,"['in-flight service', 'ticketing', 'seating', 'staff behavior', 'delays']",Non-Immediate,[],"London to Kuala Lumpur on British Airways Boeing 777. Outbound in First, return in Club World (business class). Flights on time both ways. Comfortable seats/beds and very helpful and friendly staff. The quality of food and drink served, (particularly the food) was very poor."
157,Positive,"['in-flight service', 'ticketing', 'seating', 'staff behavior', 'delays', 'entertainment']",Non-Immediate,[],
158,Positive,"['baggage handling', 'seating', 'delays']",Immediate,[],
159,Negative,"['in-flight service', 'ticketing', 'staff behavior', 'delays', 'entertainment']",Non-Immediate,[],
160,Negative,"['in-flight service', 'baggage handling', 'ticketing', 'staff behavior', 'delays', 'entertainment']",Non-Immediate,[], 
161,Positive,"['in-flight service', 'baggage handling', 'seating', 'staff behavior', 'delays', 'cleanliness']",Non-Immediate,[],
162,Negative,"['in-flight service', 'ticketing', 'staff behavior', 'safety']",Immediate,[],"We flew Business Class to Vienna on the 28/7/15, Terminal 3 is a dismal place and the lounge reflected this. There was very poor food choices and everything was tired including the staff. The outward journey was okay, flight attendant was pleasant. I think the meal choices could be improved - these tickets are not cheap. However the return flight (31/7/15) which was in economy - also not cheap, was not good at all. The attitude of the staff was really below par. The food choice was an iced bun and a chicken/bacon bun. Seeing the choice I asked for the vegetarian option-Couscous with a few slices of pepper - all of which were tasteless. When asked would I like a drink I replied - Bloody Mary. I should have known better, as this was the attendant who having to do a live safety demo chewed and smirked the whole way through, produced the drink without any WS. I asked if I could have some and then watched him add a good 1cm to the drink - turning the tomato juice a dark brown. BA need to remember we as the customers pay their wages."
163,Negative,"['in-flight service', 'baggage handling', 'ticketing', 'seating', 'delays', 'entertainment']",Non-Immediate,[],
164,Positive,"['in-flight service', 'ticketing', 'delays', 'entertainment']",Non-Immediate,[],
165,Positive,"['in-flight service', 'baggage handling', 'ticketing', 'seating', 'staff behavior', 'delays', 'safety']",Immediate,[],
166,Positive,"['in-flight service', 'ticketing', 'seating', 'staff behavior', 'cleanliness']",Immediate,[],
167,Positive,"['in-flight service', 'seating', 'delays']",Immediate,[],
168,Positive,"['baggage handling', 'staff behavior', 'delays']",Immediate,[],"Have been impressed with British Airways in the past, today we had a very different experience on our flight from Edinburgh to London Gatwick. We checked in online and arrived to drop off our bags 45 minutes before the departure time and were met by an extremely moody check in lady. She radioed another member of staff to ask if we were to be allowed to come on the flight in an extremely moody manner, trying to have us not admitted (even though 45 minutes is the amount of time to arrive before from their website). Eventually we were allowed and with one last scowl from the staff left the desk. We got through security rushing as we thought we must be really late only to find the plane delayed for an hour."
169,Negative,"['in-flight service', 'ticketing', 'seating', 'staff behavior', 'delays', 'entertainment']",Immediate,[],"Having previously flown with British Airways a few years ago I was quite disappointed. The legroom was as expected and I had no complaints about that, but the food was awful and the service was terrible. We were sat next to a group of drunken passengers who were loud and were continued to be served drinks throughout. I am sure this didn't make the cabin crew job easy but they seemed quite disorganised - running out of drinks etc. As we were sitting in the back of the plane there seemed to be no choices by the time we were offered food - the crew were not really interested. When asked about an alternative they forgot to come back to us and when asked again they offered exactly what we refused. The food was poor quality, dry hard chicken with very little flavour. Breakfast was an egg mayonnaise roll and again there was no alternative. I paid extra to fly with British Airways but found the service and food lacking - really would not recommend flying long haul with them if you can help it. You can see they have made cuts to the budget!"
170,Negative,"['in-flight service', 'ticketing', 'staff behavior', 'delays']",Non-Immediate,[],
171,Positive,"['in-flight service', 'baggage handling', 'ticketing', 'seating', 'staff behavior', 'delays']",Non-Immediate,[],
172,Positive,"['in-flight service', 'staff behavior', 'delays', 'entertainment']",Immediate,[],"British Airways from London Heathrow to Nairobi return, both trips in Club World and both exemplary in every way. On time, cheerful and professional flight attendants, presentable and appealing meals, and on our return flight, which departed at 11:30 pm, a conspicuous effort to begin the meal service quickly so passengers could get to sleep quickly."
173,Positive,"['in-flight service', 'ticketing', 'seating', 'delays', 'entertainment']",Immediate,[],
174,Negative,"['in-flight service', 'ticketing', 'seating', 'delays', 'entertainment']",Immediate,[],"Singapore to London Heathrow with British Airways in Premium Economy, and abysmal priority boarding. No pre take off drinks. Ran out of wine bottle drinks and also ran out of meal choices. Seat was truly dreadful. I had to climb over the armrest to get out. The person behind played games by stabbing at the screen for 14 hours. Complaints Department don't care and I am still waiting for my miles to be credited."
175,Positive,"['in-flight service', 'baggage handling', 'ticketing', 'staff behavior', 'delays']",Immediate,[],"Our British Airways flight from Helsinki to London had issues with it's brakes so the departure was delaytd. Original departure time was at 17.15, there were next info at 18.30, 19.00, 19.30 and 20.45. The captain gave us an announcement of situation at the gate around at 19.00. Meal vouchers were give at 20.00 for those who were still at the gate. Then after 21.00 an announcement to get luggage and hotel vouchers from the arrival hall. Next information will be given next morning at 09.00, which later was postponed until 14.30. Requests of rebookings were refused as the flight were not cancelled. They just said come to the airport early enough. British Airways failed to provide information about EU passanger's rights as it had to be requested separately. Lot of fellow passsengers were not aware of their rights. Next afternoon local grond handling company only had regular number of check-in desks open even there were two flights cheking-in at the same time. So only three desks open and they were not able to start checking us in but requesting us to step aside for the same day flight passengers. Great as we had only been waiting around 22hrs for our flights. Finally our flight got new departure time which was at 17.30, later to changed 18.00. At the gate departure time came and went and no announcement were made. Departure time were postponed until 18.30 with no announcement of reason for new delay. When requesting some futher information it was said it's the same reason as yesterday but we had been given a written statement saying this aircraft had been fixed. At 18.30 still no announcement and passengers get anxious about mimimal information given by aviator. Then 20 min later British Airways cancels this flight. Now rebookings promised by next morning or then have to contact British Airways directly. Another hotel night at the airport hotel and we already knew how the procedure goes. Next day rebooked for Finnair flight to London and arriving London 45 hrs late and reaching the final destination about 46hrs late. The only positive aspect was cockpit and cabin crew effort to provide some information at the gate area at the beginning of whole ordeal."
176,Positive,"['baggage handling', 'delays']",Non-Immediate,[],
177,Positive,"['in-flight service', 'baggage handling', 'ticketing', 'seating', 'staff behavior']",Immediate,['hazard'],
178,Negative,"['in-flight service', 'ticketing', 'seating', 'staff behavior', 'delays', 'entertainment', 'cleanliness']",Immediate,[],
179,Positive,"['in-flight service', 'ticketing', 'entertainment', 'cleanliness']",Non-Immediate,[],"Las Vegas to London Heathrow in November, after the Thanksgiving Holidays, we splashed out some Avios points for a First Class Upgrade. I have never been so disappointed - Business Class on British Airways is better than First as the cabin is much cleaner and modern. The first class section was dirty and cold, the Entertainment System broke down and had to be rebooted again and again. The service was good but food was nothing special. I must say I am very disappointed as I was looking forward to this upgrade. However, there was nothing First Class about it. I have flown with Qatar Airways and Emirates Business and First and they both beat twice over."
180,Positive,"['in-flight service', 'ticketing', 'staff behavior', 'cleanliness']",Immediate,[],
181,Positive,"['in-flight service', 'baggage handling', 'ticketing', 'staff behavior', 'delays', 'entertainment']",Immediate,[],
182,Positive,"['in-flight service', 'baggage handling', 'ticketing', 'seating', 'staff behavior', 'delays', 'entertainment']",Non-Immediate,[],
183,Positive,"['in-flight service', 'ticketing', 'staff behavior', 'delays', 'entertainment', 'safety']",Immediate,['warning'],"Watch out for fog diversions at Pisa! We arrived over Pisa on time, circled for 20 minutes and then diverted to Genoa. This was because of fog at Pisa and the fact that there was no instrument landing system. We subsequently found that the ILS has not been working for some time and will not be working for a good while yet. Fog is common at Pisa in the winter. We could understand a last minute diversion because of unexpected factors. However, there have been frequent diversions yet British Airways gave no advance warning that there might be trouble. We had a long wait at a deserted Genoa airport and no British Airways or other staff were on hand to assist or offer drink or food. Eventually one lady appeared to show us to a bus which took us on a 3 hour journey to Pisa. We had a 12 hour day with little to eat or drink. Our chief complaint is that with advance warning from BA we would have bought water and food if we had known what could happen. In any event, BA should have done more to provide extra refreshments."
184,Positive,"['in-flight service', 'baggage handling', 'ticketing', 'seating', 'delays']",Non-Immediate,[],    
185,Positive,"['in-flight service', 'baggage handling', 'ticketing', 'seating', 'staff behavior', 'safety']",Non-Immediate,[],This was a bmi Regional operated flight on a RJ145 from Manchester to Heathrow - but with a BA flight number so I have to report it on here. On boarding the cabin crew member didn't look up to check our boarding passes or welcome us. No check on seatbelts etc. prior to takeoff. The service started soon after takeoff since this was a very short flight this consisted of a trolley with drinks and snacks - as is usual on BA Domestic services. There were 5 men in front of me returning from a weekend break who were given 2 gin and tonics each and the cabin steward was very friendly with them. He got to me and stared I stared back I took it he had forgotten to say  may I offer you something from the bar  or something similar. I asked for an orange juice and that is exactly what was thrust onto my tray. I asked for ice I got one lump splashed into my juice reluctantly. None of the rest of us were offered a further drink but then we didn't expect it on such a short flight. No goodbye to most on departure just a grimace - but that didn't surprise me. It is sad to see that the bmi staff have lost all sense of pride in their jobs.
186,Positive,"['in-flight service', 'baggage handling', 'ticketing', 'seating', 'staff behavior', 'delays', 'entertainment']",Immediate,[],
187,Positive,"['in-flight service', 'baggage handling', 'ticketing', 'staff behavior', 'delays']",Non-Immediate,[],"My son and I flew British Airways from Glasgow to Paris on the 7th January and returned on the 11th. On out outward journey, the London flight was cancelled, so there was a knock on with our Paris flight. We did get to London, the staff were great at helping us transfer to the 5B terminal to get the flight to Paris. But I noticed that by the time we would get to Paris, we would have missed the last shuttle bus to Disney. I mentioned this to the crew, who were very good at helping, realising that I was travelling with a young adult with learning disabilities. During the flight, one member of crew kept me updated. THere were some BA managers onboard as passengers. Before we landed, he came back and told me that one of the managers would get us through to the taxis and explain to the driver where we were going and ask for a receipt. (My french is minimal, so I'd have been lost) The manager told me to keep our boarding passes and receipt amd claim BA for the taxi. My son and i had a great weekend, got home and a couple of days later, I claimed for a refund. Alas, the computer said a big fat no. It was just bad luck that we'd had to rebook flights I explained that it was a BA manager who told me to claim and it wouldn't take much to actually find out who flew on the flight. But still, no. Our insurance won't pay either because we didn't have a long enough delay! Ok, legally, BA may be in the right, but morally, well. Even the insurance company thought there should be a bit of leeway. After all, we were delayed due to a cancelled flight - their fault. Usually BA are brilliant when we fly with them and I cannot fault any of the frontline staff. Just that blooming computer. So I am 80 euros down on the taxi and 32 euros for a transfer I couldn't use."
188,Negative,"['in-flight service', 'ticketing', 'seating', 'staff behavior', 'delays', 'entertainment', 'safety', 'cleanliness']",Non-Immediate,['severe'],
189,Negative,"['in-flight service', 'baggage handling', 'ticketing', 'staff behavior', 'delays']",Immediate,[],
190,Negative,"['baggage handling', 'ticketing', 'seating', 'entertainment']",Immediate,[],
191,Negative,"['in-flight service', 'ticketing', 'seating', 'staff behavior', 'delays', 'entertainment', 'cleanliness']",Immediate,['serious'],
192,Negative,"['in-flight service', 'baggage handling', 'ticketing', 'seating', 'staff behavior', 'delays', 'entertainment']",Immediate,[],
193,Positive,"['in-flight service', 'baggage handling', 'staff behavior', 'entertainment']",Non-Immediate,[],
194,Positive,"['in-flight service', 'ticketing', 'seating', 'delays', 'entertainment']",Non-Immediate,[],
195,Positive,"['in-flight service', 'ticketing', 'seating', 'staff behavior', 'delays', 'entertainment', 'safety']",Immediate,"['unsafe', 'emergency']",
196,Negative,"['in-flight service', 'baggage handling', 'ticketing', 'seating', 'staff behavior', 'delays', 'entertainment']",Non-Immediate,[],"Not sure who invented these seats but they are awful. Difficult to get in and out if you are inside. Has not flown British Airways for a number of years but they have not improved in this time, food still very mediocre and service the same. You even had to pay in advance to select a seat, which we did. However, when we checked in, we were told sorry crew using the seats you paid for! Still waiting for my refund. Inflight entertainment is rubbish - movies well past their sell by date. Back to Emirates for us."
197,Positive,"['in-flight service', 'seating', 'entertainment']",Non-Immediate,['severe'],
198,Negative,"['baggage handling', 'staff behavior', 'delays']",Non-Immediate,[],"I received a message at 3am to inform me that my British Airways flight from Zurich to LCY will be delayed by 1 hour. Travelling with a 5yr old, and already staying at the Zurich Airport Radisson, I decided to arrive at the check in 2 hrs before the new departure time. Unfortunately, the incompetent staff at the check in desk informed me that the flight is Closed and no more check ins. I knew this was incorrect, and asked for the Supervisor, who knew that the flight, being at least 1 hour late departure (2.5hrs as it turned out) is not closed! We were checked in of course! BA - please train your check in staff or fire the incompetent ones. Luckily, as a very frequent flyer, I was not going to accept the nonsense of the first check in who suggested we should fly in the evening?"
199,Positive,"['in-flight service', 'baggage handling', 'ticketing', 'staff behavior', 'delays', 'entertainment', 'cleanliness']",Non-Immediate,[],
200,Positive,"['in-flight service', 'ticketing', 'seating', 'delays', 'entertainment']",Immediate,[],
201,Negative,"['in-flight service', 'ticketing', 'seating', 'delays', 'entertainment', 'cleanliness']",Non-Immediate,[],
202,Negative,"['in-flight service', 'baggage handling', 'ticketing', 'staff behavior', 'delays', 'entertainment']",Immediate,[],   
203,Positive,"['seating', 'staff behavior']",Non-Immediate,[],
204,Positive,"['in-flight service', 'ticketing', 'seating', 'staff behavior']",Non-Immediate,[],
205,Positive,"['in-flight service', 'baggage handling', 'ticketing', 'staff behavior', 'delays', 'cleanliness']",Immediate,[],LHR-YYZ. Checked in at 10.00am for my 13.10 departure. Check in was quick. Then proceeded through Fast Track which was not  Fast . The lounge was quite busy but the staff were very helpful. Departed on time and before take off were offered drinks. We were on the new B787 so the aircraft was nice and clean. I sat in 1F. It converted into a flat bed which was good. About 20 mins into the flight the drinks run came through. When then we asked for what we will having for lunch. I choose the Salmon for starters which was excellent. For mains I choose the chicken option which was good but the veg was very hard. Finally I choose the ice cream for dessert. Landed on time and got our bags quickly.
206,Positive,"['in-flight service', 'baggage handling', 'ticketing', 'delays']",Non-Immediate,[], 
207,Positive,"['baggage handling', 'ticketing', 'seating', 'delays', 'entertainment', 'safety']",Immediate,['emergency'],
208,Positive,"['ticketing', 'delays', 'entertainment']",Non-Immediate,[],
209,Positive,"['in-flight service', 'delays']",Non-Immediate,[],
210,Negative,"['in-flight service', 'ticketing', 'seating', 'delays', 'entertainment', 'cleanliness']",Immediate,[],
211,Negative,"['in-flight service', 'baggage handling', 'ticketing', 'staff behavior', 'delays']",Non-Immediate,[],
212,Negative,"['baggage handling', 'ticketing', 'seating', 'staff behavior', 'delays', 'cleanliness']",Non-Immediate,[],"Recently flew to LA on British Airways and was thoroughly underwhelmed with the experience on the BA A380. I travel regularly in business class on Emirates, normally on the same equipment. The BA configuration upstairs is quite cramped and far inferior to other Airlines, even to the extent of having to stretch over other passengers to leave your seat. In addition the staff seem preoccupied with their own arrangements and although were fine with me, were mildly irritated with the requests of other passengers, openly commenting to each other in front of me. The cleanliness of the plane also left a lot to be desired, after only a couple of hours into the flight, the toilets were disgusting with the floor awash - I don't think crew check them on a regular basis. The window seat has side stowage facilities, which in my case had a disgusting pale yellow fluid and rubbish in it. When mentioned to crew, they did get some paper towels to dry it out, but needless to say I didn't use it (photo attached). Overall poor value for money."
213,Positive,['staff behavior'],Non-Immediate,[],
214,Positive,"['in-flight service', 'delays']",Non-Immediate,[],
215,Negative,"['in-flight service', 'baggage handling', 'ticketing', 'seating', 'delays']",Non-Immediate,[],
216,Negative,"['in-flight service', 'baggage handling', 'ticketing', 'seating', 'staff behavior', 'delays', 'entertainment']",Immediate,[],
217,Positive,"['in-flight service', 'baggage handling', 'ticketing', 'seating', 'delays', 'entertainment', 'cleanliness']",Immediate,[],"London Heathrow to Edinburgh return, checked in on line with only hand luggage, used the app to download the boarding pass so through security and to the BA Galleries North Lounge which was packed but had a good spread of breakfast. Boarding from Gate A8 onto a Boeing 767 which appeared pretty old and not very clean, but fine for a 1hr 20min flight. A hot breakfast served which was nice, the flight was only half full. Return the BA app refused to work so checked in at the airport, quick security quick and had time in the Galleries lounge. A newish A320, seat 2F which was fine with the aircraft an all economy layout. During the 1hr flight served a coffee and snack. Service pretty good, and I guess there is no other option these days apart from BA."
218,Positive,"['in-flight service', 'baggage handling', 'ticketing', 'seating', 'staff behavior', 'delays', 'entertainment', 'cleanliness']",Non-Immediate,[],"I have used Ryanair for European destinations and have always been very happy, but while searching I found Iberia/British Airways offering return to Barcelona for £75 including 23kg of baggage. The aircraft was an A319, I am 6'3  so seat was bit cramped, but no more than other budget carriers, aircraft was spotless, crew very attentive. There was complimentary food and drink. Outward flight on time, inward flight was delayed by about one hour by problems earlier at Gatwick. I will certainly use again but other budget airlines better wake up!"
219,Positive,"['in-flight service', 'staff behavior']",Non-Immediate,[],
220,Positive,"['in-flight service', 'baggage handling', 'seating', 'delays', 'cleanliness']",Immediate,[],"I flew from Frankfurt to London Heathrow on BA903. First everything went fine. Check In was quite fast and not very crowded and we didn't have such a long walk to the Gate. When we arrived at the Gate (D6) they told us our flight was delayed. Instead of 10.55 am, now 11.30 am departure time. The Aircraft arrived at 10.40 and boarding was at 10.55 (the planned departure time). Because the aircraft was parked at an apron position we had to go there by bus. The flight was OK but the aircraft hadn't been cleaned. They served crackers or crisps so there were crumbs everywhere around the cabin (from the last passengers). The seats were normal short haul seats and ok for a 1.30 hours flight. They told us the delay was because the baggage system in Heathrow collapsed. All in all the flight was OK."
221,Positive,"['in-flight service', 'baggage handling', 'ticketing', 'seating', 'staff behavior', 'delays', 'entertainment']",Immediate,[],
222,Positive,"['in-flight service', 'ticketing', 'seating', 'staff behavior', 'cleanliness']",Non-Immediate,[],"Travelling with British Airways is always a good experience, took a short break to Majorca out on 10/10 returning 14/10 from LHR T5. Flew out on G-EUYY A320 and back on G-EUXF A321 both excellent flights, the crew were very smart and welcoming and the aircraft clean and comfortable. Enjoyed the lunch and bar service going out and refreshments and bar service on return. Noting other reviews its a shame people board flights hungry as their are many outlets at the airports prior to boarding, even major retailers do good  meal deals . The crew make the difference ensuring a safe comfortable flight."
223,Positive,"['in-flight service', 'delays', 'cleanliness']",Non-Immediate,[],
224,Positive,"['in-flight service', 'baggage handling', 'ticketing', 'seating', 'staff behavior', 'delays', 'entertainment', 'safety']",Immediate,['emergency'],
225,Positive,"['in-flight service', 'ticketing', 'seating', 'staff behavior', 'delays', 'entertainment', 'cleanliness']",Non-Immediate,[],
226,Positive,"['in-flight service', 'ticketing', 'staff behavior', 'delays']",Immediate,[],
227,Positive,"['in-flight service', 'baggage handling', 'ticketing', 'seating', 'delays']",Non-Immediate,[],
228,Positive,"['in-flight service', 'ticketing', 'seating', 'staff behavior', 'delays', 'entertainment']",Non-Immediate,[], 
229,Negative,"['in-flight service', 'baggage handling', 'ticketing', 'seating', 'staff behavior', 'delays', 'entertainment', 'safety', 'cleanliness']",Immediate,['risk'],"Bengaluru to London Heathrow with British Airways in World Traveller. Started badly - at check-in and gate boarding World Traveller passnegers are made to feel second-class citizens, but this seemed worse at Bengaluru (choatic) than Heathrow. The plane itself was packed to capacity, probably because this is the only direct carrier on this route. World Traveller is a 3x3x3 configuration. I had chosen an aisle seat in the centre (seat 38D) at the rear to minimise risk of disturbance from other passengers. Leg room is actually pretty good for economy and the new style of seat has plenty of space underneath. Seat width is OK. The adjustable headrest is better than that in Premium Economy (World Traveller Plus) although the seat base is hard. For a 10 hour flight I recommend sitting on the cushion. Service was variable - the VOD in my seat did not work (all I could get was the map) and one of the staff reset it (quite grudgingly I felt) 3 times without success. Thankfully a more senior staff member was able to find the only other unoccupied seat about 3 hours after takeoff. To be expected to put up with a seat without VOD for 10 hours is ridiculous - why do BA not check them after each flight? Plenty of food (breakfast after 2hrs, in then a snack box after 5hrs, then lunch after 8hrs) but, unfortunately, while I thought sitting at the rear would mean being served first, that was not the case, and by the time they got to my row all choice was gone. No connectivity in seat, only earphone socket. VOD choice quite limited compared to other airlines. Unfortunately I think that British Airways have been overtaken these days and will look to the Middle and Far Eastern carriers in future."
230,Negative,"['in-flight service', 'baggage handling', 'ticketing', 'seating', 'staff behavior', 'delays', 'entertainment']",Non-Immediate,[],
231,Positive,"['in-flight service', 'seating', 'staff behavior', 'delays']",Non-Immediate,[],
232,Positive,"['in-flight service', 'baggage handling', 'seating', 'delays']",Immediate,[],
233,Positive,"['in-flight service', 'baggage handling', 'ticketing', 'seating', 'delays', 'entertainment']",Immediate,[],
234,Positive,"['in-flight service', 'baggage handling', 'ticketing', 'seating', 'staff behavior', 'delays', 'entertainment']",Immediate,['harm'],
235,Negative,"['in-flight service', 'ticketing', 'seating', 'delays', 'entertainment']",Immediate,[],
236,Positive,"['in-flight service', 'ticketing', 'seating', 'staff behavior', 'delays', 'entertainment']",Immediate,[],
237,Positive,"['in-flight service', 'baggage handling', 'ticketing', 'seating', 'delays', 'cleanliness']",Immediate,[],"London to St Petersburgh flight left on time, aircraft was clean. The flight was not full and we were given aisle and window seat with a vacant seat in the middle. This was similar to the business class section. Hot breakfast was served. Overall a comfortable short flight. My only gripe was slow check in at Heathrow T5, as all pax to Russia have to have their Visa checked by supervisor.     ⚑ British Airways Ranking"
238,Positive,"['in-flight service', 'baggage handling', 'staff behavior', 'delays', 'entertainment', 'safety', 'cleanliness']",Non-Immediate,[],
239,Negative,"['in-flight service', 'ticketing', 'staff behavior', 'delays', 'entertainment']",Immediate,[],
240,Positive,"['in-flight service', 'baggage handling', 'delays', 'entertainment']",Non-Immediate,[],
241,Positive,"['in-flight service', 'ticketing', 'entertainment']",Non-Immediate,[],
242,Positive,"['in-flight service', 'ticketing', 'staff behavior', 'delays', 'entertainment']",Non-Immediate,[],
243,Negative,"['in-flight service', 'seating']",Non-Immediate,[],"I have booked a flight to travel with my wife from the USA to Italy. I booked this trip through American Airlines, and some of the flights are with British Airways. In order to select seats on British Airways, I have to pay about $200 for the both of us, maybe more. I will never fly American Airlines or British Airways ever again. I think this policy is ridiculous."
244,Positive,"['in-flight service', 'baggage handling', 'seating', 'staff behavior', 'delays', 'entertainment', 'cleanliness']",Immediate,[],
245,Positive,"['in-flight service', 'baggage handling', 'ticketing', 'seating', 'delays', 'entertainment']",Non-Immediate,[],
246,Positive,[],Immediate,[],
247,Positive,"['in-flight service', 'ticketing', 'seating', 'delays', 'safety', 'cleanliness']",Non-Immediate,[],LAX-LHR-LAX on the A380.The first thing I noticed: You can no longer upgrade with Avios. Unlike the days of BA Miles any attempt just brings up  No Availability  or the web-site simply tries to make you buy an upgrade. Not a good start. Next up at LAX the plane was a good hour late arriving. Finally boarded and the flight was OK. Food was from the Club World menu (WTP) seating fine enough wine good IFE but then landing late at LHR a delay because  An airbus was at our spot . Next the airbridge will not work followed by an airbus is in our spot. Over 35 minutes wasted sitting there with children bullying passengers. If the pilot wishes to lie please be consistent. Route back all quite normal but I feel somehow BA have thrown the baby out with the bath water. As a share holder I prefer discounts to dividends which are doubtful ad I preferred using miles to upgrade (try finding flights from the US you can book with  Avios  and finally why did that pilot lie to all of us sat there waiting to park? Time to stop collecting miles change credit cards and look for an honest airline I feel.
248,Positive,"['in-flight service', 'baggage handling', 'ticketing', 'seating', 'staff behavior', 'delays']",Non-Immediate,[],
249,Positive,"['in-flight service', 'baggage handling', 'ticketing', 'seating', 'staff behavior', 'entertainment']",Non-Immediate,[], 
250,Positive,"['in-flight service', 'seating', 'staff behavior', 'delays']",Immediate,[],
