,Sentiment,Risk,Urgency,Topic,Source Airport,Destination Airport,Carrier
280,Answer: Negative,High Risk,Non-Immediate,Bad Service,London Heathrow,Vancouver,British Airways
281,Answer: Negative,Low Risk,Non-Immediate,Bad Service,Tampa,Gatwick,British Airways
282,Negative,High Risk,Non-Immediate,Customer Experience and Satisfaction,NYC,LHR,BA
283,Answer: Positive,Low Risk,Non-Immediate,Service Quality,Milan,London,British Airways
284,Answer: Positive,Low Risk,Non-Immediate,Customer Experience and Satisfaction,Helsinki,Mumbai,British Airways
285,Answer: Positive,Low Risk,Non-Immediate,Service Quality,JFK,Berlin,British Airways
286,Answer: Positive,Low Risk,Non-Immediate,Comfort and Seating,London Heathrow (LHR),Helsinki (HEL),Finnair
287,Answer: Negative,High Risk,Immediate,Customer Experience and Satisfaction,JFK,London Heathrow,British Airways
288,Negative,High Risk,Immediate,Customer Experience and Satisfaction,City x,City y,British Airways
289,Answer: Negative,Low Risk,Non-Immediate,Pricing and Policies,Bangkok,London Heathrow,British Airways
290,Negative,High Risk,Non-Immediate,Service Quality,LAX,LHR,British Airways
291,Answer: Positive,Low Risk,Non-Immediate,Pricing and Policies,London Heathrow Airport,Washington Dulles International Airport,Air France.
292,Answer: Positive,Low Risk,Non-Immediate,Service Quality,Bridgetown,London Gatwick,Avios
293,Answer: Negative,High Risk,Non-Immediate,Bad Service,Athens,Heathrow,British Airways.
294,Negative,High Risk,Immediate,Customer Experience and Satisfaction,London,Nashville,British Airways
295,Answer: Positive,Low Risk,Non-Immediate,Customer Experience and Satisfaction,London,Milan,Unknown
296,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,London Heathrow,Belfast George Best Airport,British Airways (BA)
297,Negative,High Risk,Immediate,Customer Experience and Satisfaction,Airport A,Airport B,British Airways.
298,Answer: Negative,Low Risk,Non-Immediate,Service Quality,Heathrow T3,Vienna,British Airways
299,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,Zurich,T5,Unknown
300,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,San Diego,Manchester,British Airways
301,Answer: Negative,High Risk,Non-Immediate,Customer Experience and Satisfaction,Dallas,Lagos,British Airways
302,Answer: Negative,High Risk,Immediate,Service Quality,N/A,N/A,British Airways
303,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,Kiev,London,Airbus 319.
304,Answer: Negative,Low Risk,Non-Immediate,Pricing and Policies,Berlin,London,BA (British Airways)
305,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,London Gatwick,Glasgow,British Airways.
306,Answer: Positive,High Risk,Non-Immediate,Service Quality,Bridgetown,Heathrow,British Airways
307,Negative,High Risk,Non-Immediate,Bad Service,London Heathrow,Hong Kong,British Airways
308,Answer: Positive,Low Risk,Non-Immediate,Service Quality,Kuala Lumpur,Mexico City,Unknown
309,Answer: Negative,High Risk,Immediate,Customer Experience and Satisfaction,Unknown,Unknown,Unknown
310,Answer: Negative,High Risk,Non-Immediate,Flight and In-Flight Experience,Verona,Airport Name,Carrier Name
311,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,Singapore,London,British Airways
312,Answer: Positive,High Risk,Non-Immediate,Service Quality,London Gatwick,Seville,British Airways
313,Answer: Positive,Low Risk,Non-Immediate,Comfort and Seating,Sydney,Singapore,British Airways
314,Answer: Positive,Low Risk,Non-Immediate,Food and Catering,London Heathrow,Berlin Tegel,British Airways
315,Negative,High Risk,Immediate,Flight and In-Flight Experience,London Heathrow,Athens,British Airways
316,Answer: Positive,Low Risk,Non-Immediate,Comfort and Seating,LAX,ZHR,G-XLEA
317,Answer: Negative,High Risk,Non-Immediate,Bad Service,Airport x,Airport y,British Airways
318,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,Brussels Airport (BRU),London Heathrow Airport (LHR),JFK Airport (JFK).
319,Negative,High Risk,Non-Immediate,Service Quality,Heathrow,Barcelona,British Airways
320,Answer: Negative,High Risk,Immediate,Customer Experience and Satisfaction,San Diego,Stockholm,British Airways
321,Answer: Neutral,Low Risk,Non-Immediate,Flight and In-Flight Experience,Philadelphia,Edinburgh,British Airways
322,Answer: Negative,High Risk,Non-Immediate,Food and Catering,Gatwick,Orlando,British Airways
323,Answer: Negative,High Risk,Non-Immediate,Comfort and Seating,Bridgetown,Gatwick,British Airways
324,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,Heathrow,Athens,A321.
325,Answer: Positive,Low Risk,Non-Immediate,Customer Experience and Satisfaction,London Heathrow,San Diego,British Airways
326,Answer: Positive,Low Risk,Non-Immediate,Service Quality,Dublin,London Heathrow,British Airways
327,Answer: Negative,High Risk,Immediate,Customer Experience and Satisfaction,Malta,Gatwick,British Airways.
328,Answer: Negative,Low Risk,Non-Immediate,Flight and In-Flight Experience,London,Seattle,British
329,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,Airport x,Airport y,British Airways
330,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,London,Toronto,British Airways
331,Answer: Negative,Low Risk,Non-Immediate,Customer Experience and Satisfaction,Edinburgh,Rome,British Airways
332,Answer: Negative,High Risk,Immediate,Customer Experience and Satisfaction,Unknown,Unknown,Unknown
333,Answer: Negative,High Risk,Immediate,Service Quality,Gatwick North,Florence,British Airways
334,Answer: Neutral,Low Risk,Non-Immediate,Food and Catering,Airport X,Airport Y,Carrier Z
335,Negative,High Risk,Urgent,Bad Service,LGW,City y,British Airways
336,Answer: Positive,Low Risk,Non-Immediate,Operational Efficiency,Unknown,Unknown,Unknown
337,Answer: Negative,Low Risk,Non-Immediate,Service Quality,London Gatwick,Salzburg,British Airways
338,Negative,High Risk,Non-Immediate,Comfort and Seating,City x,City y,British Airways
339,Negative,High Risk,Immediate,Customer Experience and Satisfaction,London,Sydney,British Airways
340,Negative,High Risk,Immediate,Comfort and Seating,Punta Cana,Gatwick,British Airways
341,Answer: Positive,Low Risk,Non-Immediate,Comfort and Seating,London Heathrow,Pisa,British Airways
342,Answer: Positive,Low Risk,Non-Immediate,Customer Experience and Satisfaction,Zakinthos,London Heathrow,British Airways.
343,Negative,High Risk,Non-Immediate,Flight and In-Flight Experience,Chengdu,London,British Airways
344,Answer: Positive,Low Risk,Non-Immediate,Customer Experience and Satisfaction,N/A,N/A,British Airways
345,Answer: Negative,High Risk,Immediate,Bad Service,San Francisco,Milan,British Airways
346,Answer: Negative,High Risk,Immediate,Service Quality,Gatwick Airport,Orlando Airport,British Airways (BA)
347,Positive,Low Risk,Non-Immediate,Comfort and Seating,Atlanta,London,British Airways
348,Answer: Positive,Low Risk,Non-Immediate,Comfort and Seating,London Heathrow,Toronto,British Airways
349,Negative,Average Risk,Non-Immediate,Flight and In-Flight Experience,London Heathrow,Miami,British Airways
350,Negative,High Risk,Immediate,Issues and Complaints,City x,City y,British Airways
351,Negative,High Risk,Immediate,Bad Service,Orlando,London,British Airways
352,,,,,,,
353,Answer: Negative,Low Risk,Non-Immediate,Aircraft Condition and Cleanliness,Milan,London Heathrow,British Airways
354,Answer: Neutral,Low Risk,Non-Immediate,Service Quality,London Heathrow,Kos,British Airways
355,Negative,Medium Risk,Immediate,Flight and In-Flight Experience,Philadelphia,London,British Airways
356,Answer: Negative,High Risk,Immediate,Customer Experience and Satisfaction,Airport x,Airport y,British Airways
357,Answer: Positive,Low Risk,Non-Immediate,Customer Experience and Satisfaction,London,New Orleans,British Airways
358,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,London Heathrow Airport,John F. Kennedy International Airport,British Airways
359,Negative,High Risk,Non-Immediate,Customer Experience and Satisfaction,Newcastle,San Francisco,British Airways
360,Answer: Positive,Low Risk,Non-Immediate,Customer Experience and Satisfaction,Mumbai,Boston,British Airways
361,Answer: Neutral,Low Risk,Non-Immediate,Customer Experience and Satisfaction,New York,London,One World Emerald.
362,Answer: Positive,Low Risk,Non-Immediate,Aircraft Condition and Cleanliness,Gatwick,Barbados,British Airways.
363,Negative,High Risk,Non-Immediate,Aircraft Condition and Cleanliness,Orlando,Gatwick,British Airways
364,Answer: Positive,Low Risk,Non-immediate,Food and Catering,London Gatwick,Valencia,British Airways
365,Answer: Negative,High Risk,Immediate,Customer Experience and Satisfaction,Singapore,Madrid,British Airways
366,Answer: Negative,Low Risk,Non-Immediate,Customer Experience and Satisfaction,London Heathrow,Newcastle,British Airways
367,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,Manchester Airport,New York JFK Airport,British Airways
368,Answer: Negative,High Risk,Non-Immediate,Bad Service,Glasgow,London Gatwick,British Airways
369,Negative,High Risk,Non-Immediate,Customer Experience and Satisfaction,London Heathrow,Dallas Fort Worth,British Airways
370,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,Geneva,Unknown,British Airways
371,Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,London Heathrow,Toronto,British Airways
372,Answer: Positive,Low Risk,Non-Immediate,Customer Experience and Satisfaction,Unknown,Unknown,British Airways
373,Answer: Negative,High Risk,Immediate,Food and Catering,ATL,LHR,BA
374,Negative,High Risk,Immediate,Comfort and Seating,City x,City y,Air India
375,Answer: Negative,High Risk,Immediate,Issues and Complaints,Baltimore,Heathrow,British Airways
376,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,Prague,New York,British Airways
377,Answer: Positive,Low Risk,Non-Immediate,Comfort and Seating,KUL (Kuala Lumpur International Airport),LHR (London Heathrow Airport),BA (British Airways)
378,Negative,High Risk,Immediate,Bad Service,London Heathrow,New York,British Airways
379,Answer: Positive,Low Risk,Non-Immediate,Customer Experience and Satisfaction,Sydney,Lisbon,British Airways
380,Negative,High Risk,Non-Immediate,Bad Service,London Heathrow,Stockholm Arlanda,British Airways
381,Answer: Negative,High Risk,Immediate,Comfort and Seating,City x,City y,British Airways
382,Answer: Negative,High Risk,Non-Immediate,Customer Experience and Satisfaction,London Heathrow Airport,City y,British Airways
383,Negative,High Risk,Non-Immediate,Customer Experience and Satisfaction,Glasgow,Heathrow,British Airways
384,Negative,High Risk,Immediate,Service Quality,London Heathrow,Singapore,British Airways
385,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,GOT,LHR,BA
386,Answer: Negative,High Risk,Immediate,Customer Experience and Satisfaction,London Heathrow,Milan Malpensa,British Airways
387,Negative,High Risk,Non-Immediate,Comfort and Seating,City x,City y,British Airways
388,Answer: Negative,High Risk,Immediate,Bad Service,London,Johannesburg,British Airways.
389,Negative,High Risk,Immediate,Customer Experience and Satisfaction,London,New York,British Airways
390,Negative,High Risk,Immediate,Bad Service,London Gatwick,Barbados,British Airways
391,Answer: Negative,High Risk,Immediate,Bad Service,Cancun,Not Specified,British Airways
392,Negative,High Risk,Immediate,Bad Service,Boston,Edinburgh,British Airways
393,Answer: Negative,High Risk,Immediate,Bad Service,New York,Paris,British Airways
394,Answer: Positive,Low Risk,Non-Immediate,Customer Experience and Satisfaction,London Heathrow Airport,Cairo International Airport,British Airways
395,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,Gatwick,Salzburg,British Airways
396,Answer: Positive,Low Risk,Non-Immediate,Service Quality,LAX,CPT,British Airways
397,Negative,High Risk,Immediate,Customer Experience and Satisfaction,Sweden,Los Angeles,British Airways
398,Negative,High Risk,Non-Immediate,Flight and In-Flight Experience,London,Vancouver,British Airways
399,Answer: Neutral,Low Risk,Non-Immediate,Comfort and Seating,Source Airport unavailable,Destination Airport unavailable,British Airways.
400,Negative,High Risk,Immediate,Comfort and Seating,Unknown,Unknown,Unknown
401,Answer: Negative,Low Risk,Non-Immediate,Service Quality,City x,City y,BA
402,Answer: Positive,Low Risk,Non-Immediate,Aircraft Condition and Cleanliness,Gatwick,Punta Cana,British Airways
403,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,London Heathrow,Miami,Unknown
404,Answer: Negative,Low Risk,Non-Immediate,Bad Service,LCA,LGW,British Airways
405,Answer: Negative,High Risk,Non-Immediate,Bad Service,Zurich,Heathrow,BA
406,Answer: Negative,High Risk,Non-Immediate,Flight and In-Flight Experience,Bangkok,London,British Airways
407,Answer: Positive,High Risk,Non-Immediate,Customer Experience and Satisfaction,Unknown,Sydney,British Airways
408,Answer: Negative,High Risk,Immediate,Issues and Complaints,N/A,N/A,British Airways
409,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,London Heathrow Airport,Singapore Changi Airport,British Airways
410,Answer: Positive,Low Risk,Non-Immediate,Service Quality,London Heathrow Airport (LHR),Edinburgh Airport (EDI),British Airways (BA)
411,Answer: Negative,Medium Risk,Non-Immediate,Service Quality,London Heathrow Airport,Singapore Changi Airport,British Airways
412,Negative,High Risk,Non-Immediate,Service Quality,London Heathrow,Hong Kong,British Airways
413,Answer: Negative,High Risk,Non-Immediate,Pricing and Policies,Lisbon,Heathrow,British Airways
414,Answer: Negative,High Risk,Non-Immediate,Customer Experience and Satisfaction,London,Aberdeen,Unknown
415,Answer: Negative,High Risk,Immediate,Bad Service,Dominican Republic,City y,British Airways
416,Answer: Positive,Low Risk,Non-Immediate,Comfort and Seating,Heathrow,Bangkok,British Airways
417,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,Mexico City,Copenhagen,British Airways
418,Answer: Negative,High Risk,Non-Immediate,Bad Service,Gatwick,Marrakech,British Airways
419,Negative,Low Risk,Non-Immediate,Comfort and Seating,London Heathrow,Stuttgart,Airline Name
420,Answer: Positive,Low Risk,Non-Immediate,Service Quality,Johannesburg,London,British Airways
421,Answer: Negative,High Risk,Immediate,Customer Experience and Satisfaction,Glasgow,Lisbon,British Airways
422,Answer: Negative,High Risk,Immediate,Comfort and Seating,London,Bangkok,British Airways
423,Positive,High Risk,Non-Immediate,Pricing and Policies,Gatwick,Grenada,British Airways
424,Negative,High Risk,Non-Immediate,Bad Service,Miami,Manchester,British Airways
425,Answer: Negative,High Risk,Non-Immediate,Customer Experience and Satisfaction,Gatwick,Bridgetown,British Airways
426,Answer: Neutral,Low Risk,Non-Immediate,Comfort and Seating,Bermuda,Gatwick,British Airways
427,Negative,High Risk,Immediate,Bad Service,Heathrow,Vienna,British Airways
428,Answer: Negative,High Risk,Immediate,Flight and In-Flight Experience,Istanbul,London Heathrow,British Airways.
429,Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,City x,City y,British Airways
430,Negative,High Risk,Immediate,Issues and Complaints,City x,City y,British Airways
431,Answer: Negative,High Risk,Immediate,Service Quality,Milan Malpensa,London Heathrow,British Airways
432,Answer: Positive,Low Risk,Non-Immediate,Customer Experience and Satisfaction,Mumbai,Nassau,British Airways
433,Negative,High Risk,Non-Immediate,Service Quality,London Heathrow,Barcelona,Unknown
434,Negative,High Risk,Non-Immediate,Service Quality,Airport x,Airport y,British Airways
435,Answer: Negative,Low Risk,Non-Immediate,Service Quality,SYD,SFO,British Airways
436,Negative,Medium Risk,Non-Immediate,Bad Service,City x,City y,British Airways
437,Negative,Low Risk,Non-Immediate,Pricing and Policies,Dublin,LCY/LHR,British Airways
438,Answer: Negative,High Risk,Immediate,Customer Experience and Satisfaction,Frankfurt,London,Unknown
439,Negative,High Risk,Immediate,Service Quality,Corfu,London Heathrow,British Airways
440,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,Unknown,Unknown,Unknown
441,Answer: Negative,High Risk,Immediate,Customer Experience and Satisfaction,London Gatwick,Amsterdam,British Airways
442,Negative,High Risk,Immediate,Service Quality,Singapore,Sydney,British Airways
443,Negative,High Risk,Immediate,Customer Experience and Satisfaction,Madrid,Heathrow,BA
444,Negative,High Risk,Immediate,Customer Experience and Satisfaction,London,Montreal,British Airways
445,Answer: Negative,High Risk,Immediate,Customer Experience and Satisfaction,London,Cape Town,British Airways
446,Answer: Negative,High Risk,Immediate,Customer Experience and Satisfaction,Dublin,London,British Airways
447,Answer: Positive,High Risk,Non-Immediate,Flight and In-Flight Experience,Mumbai,London Heathrow,Unknown
448,Answer: Positive,Low Risk,Non-Immediate,Service Quality,London Heathrow,Singapore,British Airways
449,Answer: Neutral,Low Risk,Non-Immediate,Aircraft Condition and Cleanliness,London Heathrow,Bucharest,British Airways.
450,,,,,,,
451,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,Nairobi,Destination Airport Unknown,British Airways
452,Negative,High Risk,Non-Immediate,Service Quality,TAP,Airport x,Airport y
453,Answer: Negative,High Risk,Non-Immediate,Flight and In-Flight Experience,London Heathrow Airport,Santorini Airport,British Airways
454,Answer: Negative,High Risk,Non-Immediate,Customer Experience and Satisfaction,Naples,Gatwick,British Airways
455,Negative,High Risk,Immediate,Bad Service,Johannesburg,Athens,British Airways
456,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,Copenhagen,Amsterdam,British Airways.
457,Answer: Positive,Low Risk,Non-Immediate,Comfort and Seating,South Airport Tenerife,Airport Unspecified,Iberia.
458,Negative,High Risk,Immediate,Pricing and Policies,London,Seattle,British Airways
459,Answer: Positive,High Risk,Non-Immediate,Comfort and Seating,BRU,YYZ,Dreamliner
460,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,London Heathrow,Washington Dulles,British Airways
461,Negative,High Risk,Immediate,Flight and In-Flight Experience,Cape Town,London,Unknown
462,Answer: Negative,Low Risk,Non-Immediate,Food and Catering,Vancouver,London,British Airways
463,Negative,High Risk,Immediate,Customer Experience and Satisfaction,City x,Gibraltar,British Airways
464,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,Brisbane,London,British Airways.
465,Negative,High Risk,Immediate,Customer Experience and Satisfaction,London Heathrow,Budapest,British Airways
466,Answer: Positive,Low Risk,Non-Immediate,Pricing and Policies,Doha,Paris,British Airways
467,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,Source Airport,Destination Airport,British Airways
468,Answer: Positive,Low Risk,Non-Immediate,Customer Experience and Satisfaction,Chicago,Amsterdam,British Airways
469,Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,London Gatwick,Tampa,British Airways
470,Answer: Positive,Low Risk,Non-Immediate,Customer Experience and Satisfaction,Unknown,Unknown,Unknown
471,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,Airport x,Airport y,British Airways
472,Answer: Positive,Low Risk,Non-Immediate,Comfort and Seating,Airport x,Airport y,British Airways
473,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,Source Airport Unspecified,Destination Airport Unspecified,Carrier Unspecified
474,Negative,High Risk,Immediate,Customer Experience and Satisfaction,Chicago,London Heathrow,British Airways
475,Answer: Positive,Low Risk,Non-Immediate,Service Quality,London Heathrow (LHR),Hong Kong International (HKG),Cathay Pacific
476,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,Heathrow Airport,Newark Airport,787 Aircraft.
477,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,London Heathrow Airport,Bangkok Suvarnabhumi Airport,British Airways
478,Negative,High Risk,Immediate,Comfort and Seating,Athens,London,British Airways
479,,,,,,,
480,Answer: Positive,Low Risk,Non-Immediate,Service Quality,London,Rio de Janeiro,British Airways
481,Positive,High Risk,Non-Immediate,Service Quality,Sao Paulo,Heathrow,British Airways
482,Answer: Negative,High Risk,Immediate,Pricing and Policies,London Heathrow,Las Vegas,Unknown
483,Answer: Negative,High Risk,Immediate,Pricing and Policies,London Heathrow,Prague,British Airways
484,Answer: Negative,High Risk,Immediate,Customer Experience and Satisfaction,London Heathrow,Cape Town,British Airways
485,Answer: Positive,Low Risk,Non-Immediate,Food and Catering,London,Chicago,British Airways
486,Answer: Positive,Low Risk,Non-Immediate,Food and Catering,London Gatwick Airport,Paphos International Airport,British Airways
487,Negative,High Risk,Non-Immediate,Service Quality,London,Cape Town,British Airways
488,Answer: Neutral,Low Risk,Non-Immediate,Customer Experience and Satisfaction,Hamburg,Abu Dhabi,British Airways
489,Negative,High Risk,Immediate,Flight and In-Flight Experience,T5,T3,Unspecified
490,Negative,High Risk,Non-Immediate,Flight and In-Flight Experience,Heathrow,Galleries,British Airways
491,Negative,High Risk,Immediate,Issues and Complaints,City x,City y,British Airways
492,Answer: Positive,Low Risk,Non-Immediate,Customer Experience and Satisfaction,Newcastle,Geneva,British Airways
493,Answer: Positive,High Risk,Non-Immediate,Bad Service,San Francisco,Johannesburg,British Airways
494,Negative,High Risk,Non-Immediate,Bad Service,London Heathrow,Innsbruck,British Airways
495,Negative,High Risk,Non-Immediate,Aircraft Condition and Cleanliness,London,New York JFK,British Airways
496,Answer: Positive,Low Risk,Non-Immediate,Operational Efficiency,Manchester,Heathrow,Unknown
497,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,Zurich,London Heathrow,British Airways
498,Answer: Negative,High Risk,Non-Immediate,Bad Service,Pisa,Chicago,American Airlines
499,Negative,High Risk,Non-Immediate,Service Quality,London Gatwick (LGW),Lanzarote (ACE),British Airways
